"gene","cancer","rank","mf","known","dawnrank","drivermp","driverrwh","out_degree","evidence_level"
"ZFHX3","THCA",60,0.0186335403726708,TRUE,1480,1692,187,25,"B"
"MAP3K3","THCA",17,0.0082815734989648,FALSE,1811,136,1925,0,"C"
"PPM1D","THCA",22,0.0082815734989648,TRUE,836,1130,141,0,"B"
"KDM2A","THCA",51,0.0082815734989648,FALSE,387,1158,134,7,"C"
"TCF7L1","THCA",87,0.0082815734989648,FALSE,442,210,1708,26,"C"
"PRKD1","THCA",29,0.0062111801242236,FALSE,617,1478,260,0,"C"
"NFAT5","THCA",81,0.0062111801242236,FALSE,1294,1773,359,598,"C"
"ABL2","THCA",94,0.0062111801242236,TRUE,1191,1545,674,0,"B"
"BCOR","THCA",27,0.0041407867494824,TRUE,1991,333,1733,8466,"B"
"YES1","THCA",32,0.0041407867494824,FALSE,365,2847,491,0,"C"
"CCNT1","THCA",39,0.0041407867494824,FALSE,146,305,2376,0,"C"
"SMARCC2","THCA",64,0.0041407867494824,FALSE,122,492,2218,286,"C"
"NUP214","THCA",66,0.0041407867494824,TRUE,141,237,320,0,"B"
"ABL1","THCA",30,0.0020703933747412,TRUE,168,159,3031,144,"B"
"CSNK2A1","THCA",36,0.0020703933747412,FALSE,303,169,1251,0,"C"
"SP1","THCA",58,0.0020703933747412,FALSE,380,186,307,8414,"B"
"DNMT1","THCA",61,0.0020703933747412,FALSE,221,163,470,46,"C"
"POLR2A","THCA",63,0.0020703933747412,FALSE,200,366,389,5825,"C"
"KLF4","THCA",73,0.0020703933747412,TRUE,322,2016,1321,11372,"B"
"STAT5A","THCA",78,0.0020703933747412,FALSE,218,249,3162,1323,"C"
"RB1","THCA",83,0.0020703933747412,TRUE,227,173,2698,456,"B"
"KAT5","THCA",88,0.0020703933747412,FALSE,242,364,2186,1606,"B"
"CHD1","THCA",90,0.0020703933747412,FALSE,414,2220,4022,1500,"C"
"BCL6","THCA",91,0.0020703933747412,TRUE,249,316,114,2379,"B"
"PPARA","THCA",92,0.0020703933747412,FALSE,226,188,1598,136,"B"
"EED","THCA",96,0.0020703933747412,FALSE,345,424,466,60,"C"
