"gene","cancer","rank","mf","known","dawnrank","drivermp","driverrwh","out_degree","evidence_level"
"ZEB2","KIRC",46,0.0215633423180593,FALSE,680,4491,218,19,"B"
"MAX","KIRC",18,0.0161725067385445,TRUE,2071,444,435,13925,"B"
"STAG1","KIRC",72,0.0161725067385445,FALSE,2413,135,223,7419,"C"
"TYK2","KIRC",84,0.0161725067385445,FALSE,113,296,219,0,"C"
"CUX1","KIRC",97,0.0161725067385445,TRUE,751,2618,438,1784,"B"
"NCOR2","KIRC",37,0.0134770889487871,TRUE,112,115,398,454,"B"
"SUZ12","KIRC",44,0.0134770889487871,TRUE,111,125,143,158,"B"
"DNMT3A","KIRC",58,0.0134770889487871,TRUE,124,2664,106,23,"B"
"PTPRC","KIRC",62,0.0134770889487871,TRUE,123,187,101,0,"B"
"MYH11","KIRC",64,0.0134770889487871,TRUE,189,5066,181,9177,"B"
"SNW1","KIRC",75,0.0134770889487871,FALSE,117,159,189,29,"D"
"TET2","KIRC",98,0.0134770889487871,TRUE,260,7354,737,2,"B"
"ABL1","KIRC",38,0.0107816711590297,TRUE,135,7181,118,144,"B"
"NCOA3","KIRC",51,0.0107816711590297,FALSE,214,260,742,89,"C"
"DDX5","KIRC",56,0.0107816711590297,TRUE,145,169,329,4721,"B"
"NFE2L2","KIRC",81,0.0107816711590297,TRUE,172,218,290,84,"B"
"STAT6","KIRC",83,0.0107816711590297,TRUE,253,321,249,466,"B"
"MED12","KIRC",88,0.0107816711590297,TRUE,479,149,199,6109,"B"
"TCF12","KIRC",90,0.0107816711590297,TRUE,2591,468,1571,4801,"B"
"AGO2","KIRC",91,0.0107816711590297,FALSE,137,6005,136,0,"B"
"RARA","KIRC",92,0.0107816711590297,TRUE,193,357,283,280,"B"
"PRKCB","KIRC",95,0.0107816711590297,FALSE,269,4184,409,0,"C"
"DHX9","KIRC",100,0.0107816711590297,FALSE,140,297,1156,0,"C"
"JUN","KIRC",16,0.00808625336927224,TRUE,200,178,119,12891,"B"
"CREBBP","KIRC",21,0.00808625336927224,TRUE,212,121,112,7389,"B"
"TCF3","KIRC",60,0.00808625336927224,TRUE,801,596,3437,11341,"B"
"SMAD2","KIRC",67,0.00808625336927224,TRUE,230,281,495,248,"B"
"DNMT1","KIRC",87,0.00808625336927224,FALSE,258,4139,322,46,"C"
"JAK1","KIRC",99,0.00808625336927224,TRUE,311,171,282,0,"B"
"ESR1","KIRC",55,0.00539083557951483,TRUE,372,276,206,5096,"B"
"STAT3","KIRC",61,0.00539083557951483,TRUE,382,119,232,1077,"B"
"MAPK14","KIRC",71,0.00539083557951483,FALSE,491,386,843,15,"C"
"CDK2","KIRC",77,0.00539083557951483,FALSE,419,252,423,1,"C"
