"gene","cancer","rank","mf","known","dawnrank","drivermp","driverrwh","evidence_level"
"RUNX1T1","HNSC",81,0.0556660039761431,TRUE,2515,230,294,"B"
"CUX1","HNSC",56,0.0397614314115308,TRUE,296,3869,289,"B"
"CHD8","HNSC",75,0.0337972166998012,FALSE,165,5408,117,"C"
"NFATC2","HNSC",85,0.0337972166998012,TRUE,734,4990,680,"B"
"MECOM","HNSC",94,0.0337972166998012,TRUE,1546,3805,358,"B"
"NF1","HNSC",44,0.0278330019880716,TRUE,118,7245,111,"B"
"GATA3","HNSC",51,0.025844930417495,TRUE,122,5517,259,"B"
"KDR","HNSC",63,0.025844930417495,TRUE,107,102,139,"B"
"EBF1","HNSC",28,0.0238568588469185,TRUE,442,4180,575,"B"
"POLR2A","HNSC",53,0.0218687872763419,FALSE,164,207,194,"C"
"ZEB1","HNSC",61,0.0218687872763419,FALSE,331,6315,351,"B"
"MYH11","HNSC",70,0.0218687872763419,TRUE,356,464,443,"B"
"KDM5B","HNSC",57,0.0198807157057654,FALSE,440,4663,477,"C"
"NCOA1","HNSC",84,0.0198807157057654,TRUE,338,150,483,"B"
"SIN3A","HNSC",37,0.0178926441351889,FALSE,252,12183,341,"C"
"STAT1","HNSC",62,0.0178926441351889,FALSE,194,104,205,"B"
"BCOR","HNSC",64,0.0178926441351889,TRUE,5407,1023,6009,"B"
"TFAP2A","HNSC",89,0.0178926441351889,FALSE,1065,8770,1440,"C"
"ARNT","HNSC",58,0.0159045725646123,TRUE,1141,353,848,"B"
"PRKCA","HNSC",96,0.0159045725646123,FALSE,269,4026,371,"C"
"NR2F2","HNSC",86,0.0139165009940358,FALSE,3557,9939,3658,"C"
"SMC3","HNSC",100,0.0139165009940358,FALSE,505,583,528,"C"
"ETS1","HNSC",29,0.0119284294234592,FALSE,835,217,1123,"B"
"IRF1","HNSC",73,0.0099403578528827,FALSE,657,758,972,"C"
"USF1","HNSC",90,0.0099403578528827,FALSE,2229,569,2506,"C"
"HDAC2","HNSC",36,0.00795228628230616,FALSE,607,199,542,"C"
"SP1","HNSC",87,0.00795228628230616,FALSE,1016,4354,1773,"B"
"POU2F1","HNSC",93,0.00795228628230616,FALSE,2449,7904,3170,"C"
"FLI1","HNSC",97,0.00795228628230616,TRUE,6127,12131,5227,"B"
"GABPA","HNSC",99,0.00795228628230616,FALSE,6271,1633,11528,"C"
"YY1","HNSC",71,0.00596421471172962,FALSE,1033,371,1296,"B"
