"gene","cancer","rank","mf","known","dawnrank","drivermp","driverrwh","evidence_level"
"KMT2B","STAD",85,0.125874125874126,FALSE,1633,6826,146,"C"
"BCOR","STAD",9,0.0839160839160839,TRUE,5221,7114,1317,"B"
"MYH11","STAD",10,0.0792540792540792,TRUE,141,255,185,"B"
"NRIP1","STAD",49,0.0792540792540792,FALSE,2987,669,768,"B"
"CUX1","STAD",50,0.0792540792540792,TRUE,493,11292,486,"B"
"NCOA2","STAD",77,0.0652680652680653,TRUE,174,151,220,"B"
"HCFC1","STAD",44,0.0629370629370629,FALSE,287,410,321,"C"
"HDAC4","STAD",88,0.0629370629370629,FALSE,122,204,139,"C"
"PGR","STAD",65,0.0606060606060606,FALSE,140,8674,196,"C"
"MED12","STAD",46,0.0559440559440559,TRUE,459,108,365,"B"
"STAT5B","STAD",54,0.0559440559440559,TRUE,124,125,217,"B"
"KDM5B","STAD",31,0.0536130536130536,FALSE,354,4558,430,"B"
"E2F7","STAD",48,0.0536130536130536,FALSE,2455,6167,951,"C"
"NCOA1","STAD",76,0.0536130536130536,TRUE,295,126,306,"B"
"STAG1","STAD",55,0.0512820512820513,FALSE,2953,766,1340,"C"
"NCOA3","STAD",78,0.0512820512820513,FALSE,266,292,312,"B"
"FOXP1","STAD",20,0.048951048951049,TRUE,2833,4885,1322,"B"
"POLR2A","STAD",24,0.048951048951049,FALSE,135,213,143,"C"
"SIN3A","STAD",26,0.0466200466200466,FALSE,216,129,233,"C"
"GATA3","STAD",37,0.0466200466200466,TRUE,178,11762,229,"B"
"EBF1","STAD",28,0.0442890442890443,TRUE,695,5236,1002,"B"
"SMC3","STAD",75,0.041958041958042,FALSE,416,355,399,"C"
"KAT2B","STAD",91,0.041958041958042,FALSE,253,109,212,"B"
"BRD2","STAD",18,0.0372960372960373,FALSE,533,497,668,"C"
"ZEB1","STAD",73,0.0372960372960373,FALSE,521,8484,746,"B"
"TCF12","STAD",83,0.034965034965035,TRUE,2929,878,2131,"B"
"KDM4C","STAD",100,0.034965034965035,FALSE,4648,4167,2313,"C"
"EGR1","STAD",29,0.0326340326340326,FALSE,434,198,688,"B"
"STAT1","STAD",60,0.0326340326340326,FALSE,286,116,251,"B"
"ERG","STAD",34,0.027972027972028,TRUE,12412,9505,8260,"B"
"TCF3","STAD",57,0.027972027972028,TRUE,1150,837,1473,"B"
"MAZ","STAD",15,0.0256410256410256,FALSE,6110,13920,3639,"C"
"YY1","STAD",33,0.0256410256410256,FALSE,602,206,801,"B"
"SP1","STAD",39,0.0256410256410256,FALSE,787,171,1045,"B"
"FLI1","STAD",32,0.0233100233100233,TRUE,6009,12471,7064,"B"
"KLF4","STAD",53,0.020979020979021,TRUE,783,5712,1147,"B"
"ZNF263","STAD",61,0.020979020979021,FALSE,7888,9052,7621,"D"
"ARNT","STAD",70,0.020979020979021,TRUE,2493,1042,2755,"B"
"IRF1","STAD",74,0.020979020979021,FALSE,846,521,1642,"B"
"RELA","STAD",89,0.020979020979021,FALSE,536,186,508,"B"
"WDR5","STAD",96,0.020979020979021,FALSE,623,593,699,"B"
"KLF5","STAD",84,0.0186480186480186,FALSE,4623,507,4505,"B"
"TFAP2A","STAD",87,0.0186480186480186,FALSE,2674,15707,3383,"B"
"ETS1","STAD",42,0.0163170163170163,FALSE,1763,692,2057,"B"
"HDAC1","STAD",38,0.013986013986014,FALSE,772,162,427,"C"
"JUN","STAD",63,0.013986013986014,TRUE,914,131,452,"B"
"CREB1","STAD",22,0.0116550116550117,TRUE,951,685,998,"B"
"SPI1","STAD",59,0.0116550116550117,FALSE,1229,1690,2216,"C"
"USF1","STAD",97,0.0116550116550117,FALSE,3520,1896,3982,"C"
"GABPA","STAD",80,0.00932400932400932,FALSE,7645,2641,9243,"C"
