"gene","cancer","rank","mf","known","dawnrank","drivermp","driverrwh","evidence_level"
"BCOR","UCEC",7,0.179841897233202,TRUE,5503,209,1506,"B"
"MYH11","UCEC",10,0.150197628458498,TRUE,133,147,194,"B"
"CUX1","UCEC",45,0.150197628458498,TRUE,716,5507,512,"A"
"HCFC1","UCEC",51,0.142292490118577,FALSE,182,193,272,"C"
"NRIP1","UCEC",74,0.120553359683794,FALSE,3731,684,1521,"B"
"SMC1A","UCEC",41,0.118577075098814,FALSE,184,14074,182,"C"
"SIN3A","UCEC",39,0.116600790513834,FALSE,115,10652,124,"B"
"PHF8","UCEC",60,0.102766798418972,FALSE,1453,6971,867,"C"
"ZEB1","UCEC",52,0.100790513833992,FALSE,277,153,411,"B"
"KDM5B","UCEC",33,0.0968379446640316,FALSE,433,12122,579,"C"
"FOXP1","UCEC",29,0.0948616600790514,TRUE,3448,4887,1423,"B"
"SMC3","UCEC",50,0.0889328063241107,FALSE,326,5799,282,"C"
"STAG1","UCEC",53,0.0849802371541502,FALSE,3659,1333,2168,"C"
"KDM4C","UCEC",65,0.0770750988142292,FALSE,5023,9612,3305,"C"
"TAF3","UCEC",90,0.0770750988142292,FALSE,2510,722,2630,"D"
"E2F7","UCEC",79,0.0731225296442688,FALSE,3589,6100,2065,"C"
"WDR5","UCEC",71,0.0711462450592885,FALSE,347,246,311,"C"
"HNF4A","UCEC",81,0.0671936758893281,FALSE,377,11575,363,"C"
"EBF1","UCEC",37,0.0652173913043478,TRUE,1562,12555,1775,"B"
"FOXA2","UCEC",44,0.0652173913043478,FALSE,1027,4294,1564,"B"
"PAX5","UCEC",70,0.0652173913043478,TRUE,1383,4094,1768,"B"
"GATA3","UCEC",75,0.0612648221343874,TRUE,402,7431,397,"B"
"BRD2","UCEC",25,0.0592885375494071,FALSE,938,541,997,"C"
"ERG","UCEC",13,0.0573122529644269,TRUE,11744,6858,8428,"B"
"SP1","UCEC",16,0.0573122529644269,FALSE,788,394,860,"C"
"EGR1","UCEC",28,0.0573122529644269,FALSE,567,210,799,"C"
"MYB","UCEC",72,0.0573122529644269,TRUE,1697,602,2646,"B"
"TCF12","UCEC",85,0.0573122529644269,TRUE,3464,1489,3522,"B"
"GATA1","UCEC",21,0.0553359683794466,TRUE,702,7871,869,"B"
"TFAP2C","UCEC",34,0.0553359683794466,FALSE,5948,7859,4765,"C"
"ZNF263","UCEC",35,0.0553359683794466,FALSE,8447,6392,7063,"D"
"ARNT","UCEC",49,0.0553359683794466,TRUE,2545,570,2286,"B"
"POU2F1","UCEC",58,0.0553359683794466,FALSE,2543,12105,3157,"C"
"PPARG","UCEC",83,0.0553359683794466,TRUE,438,14339,173,"B"
"ATF2","UCEC",88,0.0553359683794466,FALSE,1242,377,1794,"C"
"AHR","UCEC",94,0.0553359683794466,FALSE,10121,2123,6916,"B"
"FOXA1","UCEC",23,0.0533596837944664,TRUE,927,6236,1247,"B"
"RAD21","UCEC",97,0.0533596837944664,TRUE,816,384,783,"A"
"TFAP2A","UCEC",46,0.0513833992094862,FALSE,2724,576,3075,"C"
"GRHL2","UCEC",87,0.0513833992094862,FALSE,10528,12825,9914,"C"
"HDAC2","UCEC",15,0.0494071146245059,FALSE,525,163,294,"C"
"ETS1","UCEC",12,0.0474308300395257,FALSE,1473,307,1749,"B"
"FLI1","UCEC",14,0.0474308300395257,TRUE,6464,14365,8069,"B"
"MAX","UCEC",27,0.0474308300395257,TRUE,4496,1254,3782,"A"
"MEF2A","UCEC",96,0.0434782608695652,FALSE,3386,13471,3387,"C"
"GABPA","UCEC",11,0.041501976284585,FALSE,7413,1771,6839,"C"
"KLF4","UCEC",38,0.041501976284585,TRUE,1052,15853,1387,"B"
"NFIC","UCEC",98,0.041501976284585,FALSE,5641,13754,5657,"C"
"NR2F2","UCEC",63,0.0395256916996047,FALSE,5039,10683,4779,"B"
"PBX1","UCEC",93,0.0395256916996047,TRUE,2342,2125,3112,"B"
"HDAC1","UCEC",19,0.0375494071146245,FALSE,707,457,183,"B"
"TCF3","UCEC",68,0.0375494071146245,TRUE,2005,1173,3241,"B"
"LMNB1","UCEC",69,0.0375494071146245,FALSE,1325,980,1427,"C"
"KLF9","UCEC",99,0.0375494071146245,FALSE,10816,2024,11797,"C"
"USF1","UCEC",59,0.033596837944664,FALSE,3627,1246,4605,"C"
"KLF5","UCEC",80,0.0316205533596838,FALSE,5598,17340,6493,"B"
"FOS","UCEC",84,0.0316205533596838,FALSE,914,503,572,"B"
"YY1","UCEC",54,0.0296442687747036,FALSE,1435,737,1655,"C"
"IRF1","UCEC",67,0.0296442687747036,FALSE,1497,1780,2331,"B"
"CDK9","UCEC",86,0.0296442687747036,FALSE,1642,365,2877,"C"
"CREB1","UCEC",36,0.0256916996047431,TRUE,1251,483,1111,"B"
"MXI1","UCEC",56,0.0256916996047431,FALSE,8624,15084,9414,"C"
"CLEC5A","UCEC",66,0.0237154150197628,FALSE,9290,14967,10771,"D"
"JUN","UCEC",82,0.0217391304347826,TRUE,1380,130,768,"B"
"MAZ","UCEC",78,0.0177865612648221,FALSE,7814,18530,10179,"C"
